method,scope,status,records,groups,score,score_percent,2wikimqa_score,musique_score,passage_retrieval_en_score,prefix_table_GB,request_GB,total_logical_storage_GB,materialized_prefix_GB,saving_vs_independent_fp16,saving_vs_shared_fp16,avg_latency_seconds,mean_rel_l2,source,notes
Independent FP16 full cache,independent-per-request,valid_reference_nonshared,2400,600,0.5872764612838873,58.727646128388734,0.4580914811366824,0.30873790271498036,0.995,,,3733.8218496,3733.8218496,0.0,-2.8921126299933344,1.7303099989584492,,reproduce/runs/repeated_context/repeated_context_answer_preserving_qa_g4_full_cache_summary.json,Derived logical FP16 KV storage from prompt+generated tokens; not prefix-shared.
FP16 shared reference,shared-prefix,valid_reference,2400,600,0.5873738555804158,58.73738555804158,0.45735923046252,0.30976233627872846,0.995,924.728464896,34.601905152,959.330370048,,0.7430701279572908,0.0,0.3364930051957102,,reproduce/runs/repeated_context/repeated_context_answer_preserving_qa_g4_fp16_prefix_shared_reference_full_summary.json,Primary shared-prefix FP16 denominator.
Guarded shared-prefix TurboQuant 3.5b (ours),shared-prefix,valid_candidate,2400,600,0.5906820330574996,59.068203305749954,0.46414508755133754,0.3141510116211612,0.99375,370.008632832,34.589191168,404.597824,724.544651264,0.8916397620729162,0.5782497493749146,0.37720474279834887,,2026-06-22_shared-kv-systems/guarded_prefix_tq35_s512_e2048_cached_materialized_full_0000_2400_summary.json,Shared prefix middle uses TurboQuant 3.5b; first512/last2048 prefix tokens and request-local KV are FP16.
SpectrumKV shared sink-b0.5,shared-prefix,valid_baseline,2400,600,0.5890363711935362,58.903637119353625,0.46265766119845075,0.30945145238215904,0.995,463.247338752,34.882792448,498.1301312,924.728426496,0.8665897433608505,0.480752255164114,0.5198785990932568,,2026-06-22_shared-kv-systems/baseline_runs/spectrumkv_llama31_8b/repeated_context_shared/spectrumkv-shared-sink-b05-full-after-oomfix/summary.json,
CacheGen q2 shared-prefix quality,shared-prefix,valid_baseline,2400,600,0.5698902732672554,56.98902732672554,0.4222180362679978,0.287452783533769,1.0,135.3194228,34.841373696,170.160796496,924.728426496,0.9544271785451603,0.8226254460311874,3.2768232675616553,0.25780075093110405,2026-06-22_shared-kv-systems/baseline_runs/cachegen_llama31_8b/repeated_context_shared/cachegen-quality-q2-full-detailed-summary.json,
Per-request TurboQuant 2.5b,independent-per-request,diagnostic_nonshared,2400,600,0.5015279494257291,50.15279494257291,0.33863832286105305,0.23219552541613403,0.93375,,,641.845448704,3733.2647936,0.8280996055629274,0.33094430371063377,3.8960022138567485,,reproduce/runs/repeated_context/repeated_context_answer_preserving_qa_g4_turboquant_2p5_summary.json,Original per-request TurboQuant baseline; no shared-prefix placement.
Per-request TurboQuant 3.5b,independent-per-request,diagnostic_nonshared,2400,600,0.5686604651922803,56.86604651922803,0.4237767371517371,0.29095465842510504,0.99125,,,875.239030784,3733.44436224,0.7655916468329191,0.08765628806246639,9.683322190524196,,reproduce/runs/repeated_context/repeated_context_answer_preserving_qa_g4_turboquant_3p5_summary.json,Original per-request TurboQuant baseline; no shared-prefix placement.
CacheGen q2 storage/reconstruction only,shared-prefix,storage_only_not_quality,2400,600,,,,,,135.319414248,33.141238784,168.460653032,,0.9548825145339896,0.8243976649842003,,0.25780075093110405,2026-06-22_shared-kv-systems/baseline_runs/cachegen_llama31_8b/repeated_context_shared/cachegen-shared-q2-dualgpu-dedup-summary.json,Superseded by full CacheGen quality run; kept for storage/reconstruction audit.
SKVQ packed k2-v2-g128-w128-clip-sink5,shared-prefix,invalid_quality,2400,600,0.0002777777777777778,0.027777777777777776,0.0008333333333333333,0.0,0.0,139.028645376,43.205864448,182.234509824,924.728426496,0.951193571315267,0.810039882491282,5.658851192839211,,2026-06-22_shared-kv-systems/baseline_runs/skvq_llama31_8b/repeated_context_shared/skvq-shared-k2v2-packed-full-summary.json,Completed packed/dequant path degenerates; not paper fake-quant path.
SKVQ fake-quant partial,shared-prefix,incomplete_oom_diagnostic,264,66,0.16814399083784104,16.814399083784103,0.16814399083784104,,,,,,,,,,,2026-06-22_shared-kv-systems/baseline_runs/skvq_llama31_8b/repeated_context_shared/skvq-fake-q2-shard*/predictions.jsonl,Official fake-quant path OOMs before full workload completion; partial rows are not reportable baseline.
